Subject,channel,exp_cond,value,Experiment,Condition,Base_task
Subj03,8,comp_phon_baseline_hbo,1.14E-07,Comprehension,Phonological,Baseline
Subj03,9,comp_phon_baseline_hbo,1.83E-07,Comprehension,Phonological,Baseline
Subj03,10,comp_phon_baseline_hbo,1.48E-07,Comprehension,Phonological,Baseline
Subj03,11,comp_phon_baseline_hbo,5.75E-08,Comprehension,Phonological,Baseline
Subj03,12,comp_phon_baseline_hbo,1.65E-07,Comprehension,Phonological,Baseline
Subj03,13,comp_phon_baseline_hbo,2.03E-07,Comprehension,Phonological,Baseline
Subj03,15,comp_phon_baseline_hbo,4.58E-08,Comprehension,Phonological,Baseline
Subj03,16,comp_phon_baseline_hbo,2.27E-08,Comprehension,Phonological,Baseline
Subj03,17,comp_phon_baseline_hbo,2.29E-07,Comprehension,Phonological,Baseline
Subj03,18,comp_phon_baseline_hbo,9.41E-08,Comprehension,Phonological,Baseline
Subj03,19,comp_phon_baseline_hbo,1.65E-07,Comprehension,Phonological,Baseline
Subj03,20,comp_phon_baseline_hbo,-5.25E-09,Comprehension,Phonological,Baseline
Subj03,21,comp_phon_baseline_hbo,6.64E-08,Comprehension,Phonological,Baseline
Subj03,22,comp_phon_baseline_hbo,5.83E-08,Comprehension,Phonological,Baseline
Subj03,24,comp_phon_baseline_hbo,6.76E-08,Comprehension,Phonological,Baseline
Subj03,25,comp_phon_baseline_hbo,9.83E-08,Comprehension,Phonological,Baseline
Subj03,26,comp_phon_baseline_hbo,-3.17E-08,Comprehension,Phonological,Baseline
Subj03,27,comp_phon_baseline_hbo,-1.25E-07,Comprehension,Phonological,Baseline
Subj03,28,comp_phon_baseline_hbo,-2.87E-09,Comprehension,Phonological,Baseline
Subj03,29,comp_phon_baseline_hbo,-1.06E-07,Comprehension,Phonological,Baseline
Subj03,30,comp_phon_baseline_hbo,-2.40E-08,Comprehension,Phonological,Baseline
Subj03,31,comp_phon_baseline_hbo,9.78E-08,Comprehension,Phonological,Baseline
Subj03,33,comp_phon_baseline_hbo,1.21E-08,Comprehension,Phonological,Baseline
Subj03,34,comp_phon_baseline_hbo,4.16E-08,Comprehension,Phonological,Baseline
Subj03,35,comp_phon_baseline_hbo,-1.32E-08,Comprehension,Phonological,Baseline
Subj03,36,comp_phon_baseline_hbo,1.64E-08,Comprehension,Phonological,Baseline
Subj04,1,comp_phon_baseline_hbo,-4.12E-08,Comprehension,Phonological,Baseline
Subj04,2,comp_phon_baseline_hbo,-1.63E-08,Comprehension,Phonological,Baseline
Subj04,3,comp_phon_baseline_hbo,-1.02E-07,Comprehension,Phonological,Baseline
Subj04,4,comp_phon_baseline_hbo,-1.69E-07,Comprehension,Phonological,Baseline
Subj04,6,comp_phon_baseline_hbo,-9.41E-08,Comprehension,Phonological,Baseline
Subj04,7,comp_phon_baseline_hbo,-2.58E-09,Comprehension,Phonological,Baseline
Subj04,8,comp_phon_baseline_hbo,-2.45E-07,Comprehension,Phonological,Baseline
Subj04,9,comp_phon_baseline_hbo,2.03E-07,Comprehension,Phonological,Baseline
Subj04,10,comp_phon_baseline_hbo,1.12E-07,Comprehension,Phonological,Baseline
Subj04,11,comp_phon_baseline_hbo,1.06E-07,Comprehension,Phonological,Baseline
Subj04,12,comp_phon_baseline_hbo,-1.78E-07,Comprehension,Phonological,Baseline
Subj04,13,comp_phon_baseline_hbo,2.50E-07,Comprehension,Phonological,Baseline
Subj04,15,comp_phon_baseline_hbo,1.21E-07,Comprehension,Phonological,Baseline
Subj04,16,comp_phon_baseline_hbo,-2.63E-07,Comprehension,Phonological,Baseline
Subj04,17,comp_phon_baseline_hbo,3.45E-07,Comprehension,Phonological,Baseline
Subj04,18,comp_phon_baseline_hbo,-2.69E-07,Comprehension,Phonological,Baseline
Subj04,19,comp_phon_baseline_hbo,-2.72E-10,Comprehension,Phonological,Baseline
Subj04,20,comp_phon_baseline_hbo,-9.37E-08,Comprehension,Phonological,Baseline
Subj04,21,comp_phon_baseline_hbo,-6.55E-08,Comprehension,Phonological,Baseline
Subj04,22,comp_phon_baseline_hbo,-2.12E-07,Comprehension,Phonological,Baseline
Subj04,24,comp_phon_baseline_hbo,-9.97E-08,Comprehension,Phonological,Baseline
Subj04,25,comp_phon_baseline_hbo,-1.15E-08,Comprehension,Phonological,Baseline
Subj04,26,comp_phon_baseline_hbo,-5.41E-07,Comprehension,Phonological,Baseline
Subj04,27,comp_phon_baseline_hbo,1.30E-07,Comprehension,Phonological,Baseline
Subj04,28,comp_phon_baseline_hbo,-7.51E-08,Comprehension,Phonological,Baseline
Subj04,29,comp_phon_baseline_hbo,-4.02E-07,Comprehension,Phonological,Baseline
Subj04,30,comp_phon_baseline_hbo,-2.39E-07,Comprehension,Phonological,Baseline
Subj04,31,comp_phon_baseline_hbo,3.53E-07,Comprehension,Phonological,Baseline
Subj04,33,comp_phon_baseline_hbo,7.78E-08,Comprehension,Phonological,Baseline
Subj04,34,comp_phon_baseline_hbo,3.77E-07,Comprehension,Phonological,Baseline
Subj04,35,comp_phon_baseline_hbo,1.92E-07,Comprehension,Phonological,Baseline
Subj04,36,comp_phon_baseline_hbo,-1.98E-08,Comprehension,Phonological,Baseline
Subj05,1,comp_phon_baseline_hbo,2.14E-07,Comprehension,Phonological,Baseline
Subj05,2,comp_phon_baseline_hbo,-1.24E-07,Comprehension,Phonological,Baseline
Subj05,3,comp_phon_baseline_hbo,6.26E-08,Comprehension,Phonological,Baseline
Subj05,4,comp_phon_baseline_hbo,2.82E-08,Comprehension,Phonological,Baseline
Subj05,6,comp_phon_baseline_hbo,-2.70E-08,Comprehension,Phonological,Baseline
Subj05,7,comp_phon_baseline_hbo,5.40E-08,Comprehension,Phonological,Baseline
Subj05,8,comp_phon_baseline_hbo,4.27E-08,Comprehension,Phonological,Baseline
Subj05,9,comp_phon_baseline_hbo,8.79E-08,Comprehension,Phonological,Baseline
Subj05,10,comp_phon_baseline_hbo,7.40E-08,Comprehension,Phonological,Baseline
Subj05,11,comp_phon_baseline_hbo,1.26E-07,Comprehension,Phonological,Baseline
Subj05,12,comp_phon_baseline_hbo,4.08E-08,Comprehension,Phonological,Baseline
Subj05,13,comp_phon_baseline_hbo,1.27E-07,Comprehension,Phonological,Baseline
Subj05,15,comp_phon_baseline_hbo,1.53E-07,Comprehension,Phonological,Baseline
Subj05,16,comp_phon_baseline_hbo,2.07E-07,Comprehension,Phonological,Baseline
Subj05,17,comp_phon_baseline_hbo,7.11E-08,Comprehension,Phonological,Baseline
Subj05,18,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj05,19,comp_phon_baseline_hbo,3.80E-08,Comprehension,Phonological,Baseline
Subj05,20,comp_phon_baseline_hbo,-4.72E-08,Comprehension,Phonological,Baseline
Subj05,21,comp_phon_baseline_hbo,4.37E-08,Comprehension,Phonological,Baseline
Subj05,22,comp_phon_baseline_hbo,1.39E-07,Comprehension,Phonological,Baseline
Subj05,24,comp_phon_baseline_hbo,-1.96E-08,Comprehension,Phonological,Baseline
Subj05,25,comp_phon_baseline_hbo,-1.73E-08,Comprehension,Phonological,Baseline
Subj05,26,comp_phon_baseline_hbo,1.98E-07,Comprehension,Phonological,Baseline
Subj05,27,comp_phon_baseline_hbo,3.33E-07,Comprehension,Phonological,Baseline
Subj05,28,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj05,29,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj05,30,comp_phon_baseline_hbo,8.47E-09,Comprehension,Phonological,Baseline
Subj05,31,comp_phon_baseline_hbo,3.71E-07,Comprehension,Phonological,Baseline
Subj05,33,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj05,34,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj05,35,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj05,36,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj06,1,comp_phon_baseline_hbo,-1.08E-07,Comprehension,Phonological,Baseline
Subj06,2,comp_phon_baseline_hbo,-5.68E-08,Comprehension,Phonological,Baseline
Subj06,3,comp_phon_baseline_hbo,-1.59E-08,Comprehension,Phonological,Baseline
Subj06,4,comp_phon_baseline_hbo,2.92E-08,Comprehension,Phonological,Baseline
Subj06,6,comp_phon_baseline_hbo,-9.49E-08,Comprehension,Phonological,Baseline
Subj06,7,comp_phon_baseline_hbo,4.81E-08,Comprehension,Phonological,Baseline
Subj06,8,comp_phon_baseline_hbo,9.05E-08,Comprehension,Phonological,Baseline
Subj06,9,comp_phon_baseline_hbo,-3.34E-07,Comprehension,Phonological,Baseline
Subj06,10,comp_phon_baseline_hbo,3.51E-09,Comprehension,Phonological,Baseline
Subj06,11,comp_phon_baseline_hbo,-6.50E-08,Comprehension,Phonological,Baseline
Subj06,12,comp_phon_baseline_hbo,-4.17E-07,Comprehension,Phonological,Baseline
Subj06,13,comp_phon_baseline_hbo,-1.74E-07,Comprehension,Phonological,Baseline
Subj06,15,comp_phon_baseline_hbo,-7.58E-08,Comprehension,Phonological,Baseline
Subj06,16,comp_phon_baseline_hbo,-1.95E-07,Comprehension,Phonological,Baseline
Subj06,17,comp_phon_baseline_hbo,-3.71E-08,Comprehension,Phonological,Baseline
Subj06,18,comp_phon_baseline_hbo,-1.50E-07,Comprehension,Phonological,Baseline
Subj06,19,comp_phon_baseline_hbo,6.61E-08,Comprehension,Phonological,Baseline
Subj06,20,comp_phon_baseline_hbo,-1.44E-07,Comprehension,Phonological,Baseline
Subj06,21,comp_phon_baseline_hbo,1.12E-08,Comprehension,Phonological,Baseline
Subj06,22,comp_phon_baseline_hbo,-1.96E-08,Comprehension,Phonological,Baseline
Subj06,24,comp_phon_baseline_hbo,-1.71E-07,Comprehension,Phonological,Baseline
Subj06,25,comp_phon_baseline_hbo,-1.49E-07,Comprehension,Phonological,Baseline
Subj06,26,comp_phon_baseline_hbo,-1.82E-08,Comprehension,Phonological,Baseline
Subj06,27,comp_phon_baseline_hbo,2.04E-07,Comprehension,Phonological,Baseline
Subj06,28,comp_phon_baseline_hbo,-9.12E-08,Comprehension,Phonological,Baseline
Subj06,29,comp_phon_baseline_hbo,-4.13E-08,Comprehension,Phonological,Baseline
Subj06,30,comp_phon_baseline_hbo,-1.75E-07,Comprehension,Phonological,Baseline
Subj06,31,comp_phon_baseline_hbo,-1.46E-07,Comprehension,Phonological,Baseline
Subj06,33,comp_phon_baseline_hbo,4.38E-08,Comprehension,Phonological,Baseline
Subj06,34,comp_phon_baseline_hbo,8.64E-08,Comprehension,Phonological,Baseline
Subj06,35,comp_phon_baseline_hbo,-1.15E-07,Comprehension,Phonological,Baseline
Subj06,36,comp_phon_baseline_hbo,1.04E-07,Comprehension,Phonological,Baseline
Subj07,1,comp_phon_baseline_hbo,2.77E-08,Comprehension,Phonological,Baseline
Subj07,2,comp_phon_baseline_hbo,3.90E-08,Comprehension,Phonological,Baseline
Subj07,3,comp_phon_baseline_hbo,4.84E-10,Comprehension,Phonological,Baseline
Subj07,4,comp_phon_baseline_hbo,-3.50E-08,Comprehension,Phonological,Baseline
Subj07,6,comp_phon_baseline_hbo,5.74E-08,Comprehension,Phonological,Baseline
Subj07,7,comp_phon_baseline_hbo,-2.31E-08,Comprehension,Phonological,Baseline
Subj07,8,comp_phon_baseline_hbo,7.15E-08,Comprehension,Phonological,Baseline
Subj07,9,comp_phon_baseline_hbo,1.84E-07,Comprehension,Phonological,Baseline
Subj07,10,comp_phon_baseline_hbo,1.86E-07,Comprehension,Phonological,Baseline
Subj07,11,comp_phon_baseline_hbo,9.54E-08,Comprehension,Phonological,Baseline
Subj07,12,comp_phon_baseline_hbo,8.93E-08,Comprehension,Phonological,Baseline
Subj07,13,comp_phon_baseline_hbo,3.17E-08,Comprehension,Phonological,Baseline
Subj07,15,comp_phon_baseline_hbo,1.40E-07,Comprehension,Phonological,Baseline
Subj07,16,comp_phon_baseline_hbo,1.60E-07,Comprehension,Phonological,Baseline
Subj07,17,comp_phon_baseline_hbo,4.17E-08,Comprehension,Phonological,Baseline
Subj07,18,comp_phon_baseline_hbo,2.30E-07,Comprehension,Phonological,Baseline
Subj07,19,comp_phon_baseline_hbo,-1.08E-08,Comprehension,Phonological,Baseline
Subj07,20,comp_phon_baseline_hbo,-6.13E-09,Comprehension,Phonological,Baseline
Subj07,21,comp_phon_baseline_hbo,1.17E-08,Comprehension,Phonological,Baseline
Subj07,22,comp_phon_baseline_hbo,1.06E-09,Comprehension,Phonological,Baseline
Subj07,24,comp_phon_baseline_hbo,-8.56E-08,Comprehension,Phonological,Baseline
Subj07,25,comp_phon_baseline_hbo,1.13E-07,Comprehension,Phonological,Baseline
Subj07,26,comp_phon_baseline_hbo,1.11E-07,Comprehension,Phonological,Baseline
Subj07,27,comp_phon_baseline_hbo,2.90E-08,Comprehension,Phonological,Baseline
Subj07,28,comp_phon_baseline_hbo,1.85E-07,Comprehension,Phonological,Baseline
Subj07,29,comp_phon_baseline_hbo,1.54E-07,Comprehension,Phonological,Baseline
Subj07,30,comp_phon_baseline_hbo,-5.77E-08,Comprehension,Phonological,Baseline
Subj07,31,comp_phon_baseline_hbo,7.43E-08,Comprehension,Phonological,Baseline
Subj07,33,comp_phon_baseline_hbo,1.87E-08,Comprehension,Phonological,Baseline
Subj07,34,comp_phon_baseline_hbo,8.99E-08,Comprehension,Phonological,Baseline
Subj07,35,comp_phon_baseline_hbo,1.73E-08,Comprehension,Phonological,Baseline
Subj07,36,comp_phon_baseline_hbo,6.79E-08,Comprehension,Phonological,Baseline
Subj08,1,comp_phon_baseline_hbo,-5.87E-08,Comprehension,Phonological,Baseline
Subj08,2,comp_phon_baseline_hbo,3.90E-09,Comprehension,Phonological,Baseline
Subj08,3,comp_phon_baseline_hbo,-3.20E-08,Comprehension,Phonological,Baseline
Subj08,4,comp_phon_baseline_hbo,-7.89E-08,Comprehension,Phonological,Baseline
Subj08,6,comp_phon_baseline_hbo,-2.10E-08,Comprehension,Phonological,Baseline
Subj08,7,comp_phon_baseline_hbo,-6.26E-08,Comprehension,Phonological,Baseline
Subj08,8,comp_phon_baseline_hbo,-1.10E-07,Comprehension,Phonological,Baseline
Subj08,9,comp_phon_baseline_hbo,7.60E-10,Comprehension,Phonological,Baseline
Subj08,10,comp_phon_baseline_hbo,-5.38E-08,Comprehension,Phonological,Baseline
Subj08,11,comp_phon_baseline_hbo,-1.31E-08,Comprehension,Phonological,Baseline
Subj08,12,comp_phon_baseline_hbo,2.35E-08,Comprehension,Phonological,Baseline
Subj08,13,comp_phon_baseline_hbo,-1.96E-08,Comprehension,Phonological,Baseline
Subj08,15,comp_phon_baseline_hbo,-1.08E-07,Comprehension,Phonological,Baseline
Subj08,16,comp_phon_baseline_hbo,-9.51E-08,Comprehension,Phonological,Baseline
Subj08,17,comp_phon_baseline_hbo,2.48E-08,Comprehension,Phonological,Baseline
Subj08,18,comp_phon_baseline_hbo,-6.24E-08,Comprehension,Phonological,Baseline
Subj08,19,comp_phon_baseline_hbo,4.21E-08,Comprehension,Phonological,Baseline
Subj08,20,comp_phon_baseline_hbo,-5.39E-08,Comprehension,Phonological,Baseline
Subj08,21,comp_phon_baseline_hbo,-3.61E-08,Comprehension,Phonological,Baseline
Subj08,22,comp_phon_baseline_hbo,-1.25E-08,Comprehension,Phonological,Baseline
Subj08,24,comp_phon_baseline_hbo,-9.94E-08,Comprehension,Phonological,Baseline
Subj08,25,comp_phon_baseline_hbo,-2.12E-08,Comprehension,Phonological,Baseline
Subj08,26,comp_phon_baseline_hbo,2.69E-08,Comprehension,Phonological,Baseline
Subj08,27,comp_phon_baseline_hbo,7.06E-08,Comprehension,Phonological,Baseline
Subj08,28,comp_phon_baseline_hbo,-1.13E-08,Comprehension,Phonological,Baseline
Subj08,29,comp_phon_baseline_hbo,-1.76E-08,Comprehension,Phonological,Baseline
Subj08,30,comp_phon_baseline_hbo,-9.05E-08,Comprehension,Phonological,Baseline
Subj08,31,comp_phon_baseline_hbo,-1.29E-07,Comprehension,Phonological,Baseline
Subj08,33,comp_phon_baseline_hbo,-2.34E-08,Comprehension,Phonological,Baseline
Subj08,34,comp_phon_baseline_hbo,-1.59E-07,Comprehension,Phonological,Baseline
Subj08,35,comp_phon_baseline_hbo,-5.11E-08,Comprehension,Phonological,Baseline
Subj08,36,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj10,1,comp_phon_baseline_hbo,-2.41E-08,Comprehension,Phonological,Baseline
Subj10,2,comp_phon_baseline_hbo,-6.86E-08,Comprehension,Phonological,Baseline
Subj10,3,comp_phon_baseline_hbo,-5.93E-08,Comprehension,Phonological,Baseline
Subj10,4,comp_phon_baseline_hbo,1.10E-07,Comprehension,Phonological,Baseline
Subj10,6,comp_phon_baseline_hbo,-2.69E-08,Comprehension,Phonological,Baseline
Subj10,7,comp_phon_baseline_hbo,1.47E-08,Comprehension,Phonological,Baseline
Subj10,8,comp_phon_baseline_hbo,-2.79E-08,Comprehension,Phonological,Baseline
Subj10,9,comp_phon_baseline_hbo,1.43E-07,Comprehension,Phonological,Baseline
Subj10,10,comp_phon_baseline_hbo,7.39E-08,Comprehension,Phonological,Baseline
Subj10,11,comp_phon_baseline_hbo,5.60E-08,Comprehension,Phonological,Baseline
Subj10,12,comp_phon_baseline_hbo,2.24E-07,Comprehension,Phonological,Baseline
Subj10,13,comp_phon_baseline_hbo,-9.09E-08,Comprehension,Phonological,Baseline
Subj10,15,comp_phon_baseline_hbo,8.34E-08,Comprehension,Phonological,Baseline
Subj10,16,comp_phon_baseline_hbo,2.30E-08,Comprehension,Phonological,Baseline
Subj10,17,comp_phon_baseline_hbo,2.09E-07,Comprehension,Phonological,Baseline
Subj10,18,comp_phon_baseline_hbo,-1.67E-09,Comprehension,Phonological,Baseline
Subj10,19,comp_phon_baseline_hbo,-1.98E-07,Comprehension,Phonological,Baseline
Subj10,20,comp_phon_baseline_hbo,2.10E-08,Comprehension,Phonological,Baseline
Subj10,21,comp_phon_baseline_hbo,-1.19E-07,Comprehension,Phonological,Baseline
Subj10,22,comp_phon_baseline_hbo,-7.90E-08,Comprehension,Phonological,Baseline
Subj10,24,comp_phon_baseline_hbo,4.96E-08,Comprehension,Phonological,Baseline
Subj10,25,comp_phon_baseline_hbo,5.27E-09,Comprehension,Phonological,Baseline
Subj10,26,comp_phon_baseline_hbo,-5.70E-09,Comprehension,Phonological,Baseline
Subj10,27,comp_phon_baseline_hbo,-9.53E-08,Comprehension,Phonological,Baseline
Subj10,28,comp_phon_baseline_hbo,9.35E-08,Comprehension,Phonological,Baseline
Subj10,29,comp_phon_baseline_hbo,1.53E-07,Comprehension,Phonological,Baseline
Subj10,30,comp_phon_baseline_hbo,3.28E-08,Comprehension,Phonological,Baseline
Subj10,31,comp_phon_baseline_hbo,-9.01E-08,Comprehension,Phonological,Baseline
Subj10,33,comp_phon_baseline_hbo,8.99E-08,Comprehension,Phonological,Baseline
Subj10,34,comp_phon_baseline_hbo,6.26E-08,Comprehension,Phonological,Baseline
Subj10,35,comp_phon_baseline_hbo,-1.04E-07,Comprehension,Phonological,Baseline
Subj10,36,comp_phon_baseline_hbo,5.73E-09,Comprehension,Phonological,Baseline
Subj11,1,comp_phon_baseline_hbo,1.21E-07,Comprehension,Phonological,Baseline
Subj11,2,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj11,3,comp_phon_baseline_hbo,2.45E-07,Comprehension,Phonological,Baseline
Subj11,4,comp_phon_baseline_hbo,2.22E-07,Comprehension,Phonological,Baseline
Subj11,6,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj11,7,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj11,8,comp_phon_baseline_hbo,7.41E-08,Comprehension,Phonological,Baseline
Subj11,9,comp_phon_baseline_hbo,1.91E-07,Comprehension,Phonological,Baseline
Subj11,10,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj11,11,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj11,12,comp_phon_baseline_hbo,1.98E-08,Comprehension,Phonological,Baseline
Subj11,13,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj11,15,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj11,16,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj11,17,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj11,18,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj11,19,comp_phon_baseline_hbo,1.78E-07,Comprehension,Phonological,Baseline
Subj11,20,comp_phon_baseline_hbo,2.85E-07,Comprehension,Phonological,Baseline
Subj11,21,comp_phon_baseline_hbo,6.20E-08,Comprehension,Phonological,Baseline
Subj11,22,comp_phon_baseline_hbo,-1.54E-07,Comprehension,Phonological,Baseline
Subj11,24,comp_phon_baseline_hbo,4.40E-08,Comprehension,Phonological,Baseline
Subj11,25,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj11,26,comp_phon_baseline_hbo,-8.68E-08,Comprehension,Phonological,Baseline
Subj11,27,comp_phon_baseline_hbo,1.58E-08,Comprehension,Phonological,Baseline
Subj11,28,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj11,29,comp_phon_baseline_hbo,2.03E-07,Comprehension,Phonological,Baseline
Subj11,30,comp_phon_baseline_hbo,1.89E-07,Comprehension,Phonological,Baseline
Subj11,31,comp_phon_baseline_hbo,-1.60E-07,Comprehension,Phonological,Baseline
Subj11,33,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj11,34,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj11,35,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj11,36,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj12,1,comp_phon_baseline_hbo,-4.56E-08,Comprehension,Phonological,Baseline
Subj12,2,comp_phon_baseline_hbo,5.25E-08,Comprehension,Phonological,Baseline
Subj12,3,comp_phon_baseline_hbo,-4.85E-08,Comprehension,Phonological,Baseline
Subj12,4,comp_phon_baseline_hbo,-4.16E-08,Comprehension,Phonological,Baseline
Subj12,6,comp_phon_baseline_hbo,-9.76E-10,Comprehension,Phonological,Baseline
Subj12,7,comp_phon_baseline_hbo,5.00E-08,Comprehension,Phonological,Baseline
Subj12,8,comp_phon_baseline_hbo,6.67E-08,Comprehension,Phonological,Baseline
Subj12,9,comp_phon_baseline_hbo,-9.15E-08,Comprehension,Phonological,Baseline
Subj12,10,comp_phon_baseline_hbo,4.45E-08,Comprehension,Phonological,Baseline
Subj12,11,comp_phon_baseline_hbo,4.09E-08,Comprehension,Phonological,Baseline
Subj12,12,comp_phon_baseline_hbo,2.98E-07,Comprehension,Phonological,Baseline
Subj12,13,comp_phon_baseline_hbo,3.93E-07,Comprehension,Phonological,Baseline
Subj12,15,comp_phon_baseline_hbo,-1.71E-07,Comprehension,Phonological,Baseline
Subj12,16,comp_phon_baseline_hbo,1.33E-07,Comprehension,Phonological,Baseline
Subj12,17,comp_phon_baseline_hbo,1.14E-07,Comprehension,Phonological,Baseline
Subj12,18,comp_phon_baseline_hbo,-4.87E-08,Comprehension,Phonological,Baseline
Subj12,19,comp_phon_baseline_hbo,1.23E-08,Comprehension,Phonological,Baseline
Subj12,20,comp_phon_baseline_hbo,2.08E-08,Comprehension,Phonological,Baseline
Subj12,21,comp_phon_baseline_hbo,-2.83E-08,Comprehension,Phonological,Baseline
Subj12,22,comp_phon_baseline_hbo,-6.19E-08,Comprehension,Phonological,Baseline
Subj12,24,comp_phon_baseline_hbo,-6.86E-08,Comprehension,Phonological,Baseline
Subj12,25,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj12,26,comp_phon_baseline_hbo,2.41E-08,Comprehension,Phonological,Baseline
Subj12,27,comp_phon_baseline_hbo,2.59E-08,Comprehension,Phonological,Baseline
Subj12,28,comp_phon_baseline_hbo,-5.09E-08,Comprehension,Phonological,Baseline
Subj12,29,comp_phon_baseline_hbo,-3.48E-08,Comprehension,Phonological,Baseline
Subj12,30,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
Subj12,31,comp_phon_baseline_hbo,NA,Comprehension,Phonological,Baseline
